Name,Modern,Province,Country,Size,BA_rank,from,lon,lat,to,notes
Abbir Maius,Henchir en Naam,Africa Proconsularis,Tunisia,,3,100,10.008827,36.374,,
Abitinae,Choud el Battan,Africa Proconsularis,Tunisia,,3,100,9.549085,36.627875,,
Abthungi,Henchir es Souar,Africa Proconsularis,Tunisia,35,3,-50,10.019787,36.199895,,
Acholla,Henchir Bou Tria,Africa Proconsularis,Tunisia,,4/5,-200,11.018733,35.07824,,Punic foundation
Agbia,Henchir Ain Hedja,Africa Proconsularis,Tunisia,,3,100,9.229926,36.391389,,
Aggar,Henchir Sidi Amara,Africa Proconsularis,Tunisia,,4/5,-50,11.037149,35.489109,,
Apisa Maius,Tarf ech Chena,Africa Proconsularis,Tunisia,,3,200,9.722376,36.34713,,
Aunobari,Henchir Kern el Kabch,Africa Proconsularis,Tunisia,,3,200,9.153496,36.36639,,
Avedda,Henchir Bedd,Africa Proconsularis,Tunisia,,,100,9.581767,36.795288,,
Avitta,Henchir Bou Ftis,Africa Proconsularis,Tunisia,48,3,-50,9.705949,36.409022,,
Bararus,Henchir Rougga,Africa Proconsularis,Tunisia,,3,100,10.791179,35.211896,,
Belalis,Henchir el Faouar,Africa Proconsularis,Tunisia,,3,100,9.470511,36.873925,,
Bisica,Henchir Bijga,Africa Proconsularis,Tunisia,,3,100,9.634267,36.397969,,
Capsa,Gafsa,Africa Proconsularis,Tunisia,28,3,100,8.786674,34.418648,,
Carpis,Mraissa,Africa Proconsularis,Tunisia,,3,-45,10.553122,36.765245,,
Carthago,Tunis,Africa Proconsularis,Tunisia,343,1,-49,10.327685,36.851318,,
Chidibbia,Slouduia,Africa Proconsularis,Tunisia,,3,200,9.512,36.5803,,
Cillium,Kasserine,Africa Proconsularis,Tunisia,31,3,69,8.799233,35.167704,,
Clupea,Kelibia,Africa Proconsularis,Tunisia,,4/5,-310,11.099916,36.849616,,
Curubis,Korba,Africa Proconsularis,Tunisia,,4/5,-45,10.857137,36.57591,,
Gigthis,Bou Grara,Africa Proconsularis,Tunisia,50,3,-200,10.6795,33.5415,,
