title,type,description,lon,lat,periods,minDate,maxDate,id,tags
Roman Villa at El Faro (Torrox),villa,"A Roman villa located at the modern lighthouse on Avenida del Faro, Torrox, 29770, Málaga in Spain.",-3.9576942,36.7266472,RLM,-30,2100,265896,"dare:major=0, dare:ancient=0, dare:feature=villa"
Fuente de las Piedras,villa,"An ancient place, cited: BAtlas 27 A4 Fuente de las Piedras",-4.425933,37.474391,RL,-30,640,265903,"dare:major=0, dare:ancient=0, dare:feature=villa"
Letrania,villa,"An ancient place, cited: BAtlas 27 B4 Letrania",-3.612398,37.786162,RL,-30,640,265948,"dare:major=0, dare:ancient=0, dare:feature=villa"
Pago de Bruñel,villa,"An ancient place, cited: BAtlas 27 B4 Pago de Bruñel",-3.0794566,37.8858685,RL,-30,640,265996,"dare:major=0, dare:ancient=0, dare:feature=villa"
Paulenca,villa,"An ancient place, cited: BAtlas 27 B4 Paulenca",-3.168573,37.293649,RL,-30,640,266e3,"dare:major=0, dare:ancient=0, dare:feature=villa"
El Ruedo,villa,"An ancient place, cited: BAtlas 27 A4 El Ruedo",-4.090122,37.443024,RL,-30,640,266015,"dare:major=0, dare:ancient=0, dare:feature=villa"
La Valenzoleja,villa,"An ancient place, cited: BAtlas 27 A4 La Valenzoleja",-4.673019,37.932152,RL,-30,640,266091,"dare:major=0, dare:ancient=0, dare:feature=villa"
Ain Mesbah,villa,"An ancient place, cited: BAtlas 28 B3 Ain Mesbah",-6.010001,35.170026,R,-30,300,275585,"dare:major=0, dare:ancient=0, dare:feature=villa"
Ain Skhoun,villa,"An ancient place, cited: BAtlas 28 C5 Ain Skhoun",-5.48348,34.154176,R,-30,300,275587,"dare:major=0, dare:ancient=0, dare:feature=villa"
Ain Taslalet,villa,"An ancient place, cited: BAtlas 28 C5 Ain Taslalet",-5.505728,34.162287,R,-30,300,275588,"dare:major=0, dare:ancient=0, dare:feature=villa"
Dar Sied,villa,"An ancient place, cited: BAtlas 28 C3 Dar Sied",-5.98,35.48,RL,-30,640,275619,"dare:major=0, dare:ancient=0, dare:feature=villa"
Douar Naasa,villa,"An ancient place, cited: BAtlas 28 C5 Douar Naasa",-5.921407,34.213874,R,-30,300,275621,"dare:major=0, dare:ancient=0, dare:feature=villa"
Ferme Biarnay,villa,"An ancient place, cited: BAtlas 28 C5 Ferme Biarnay",-5.661983,34.447825,R,-30,300,275626,"dare:major=0, dare:ancient=0, dare:feature=villa"
Gadadra,villa,"An ancient place, cited: BAtlas 28 B4 Gadadra",-6.133148,34.499464,R,-30,300,275632,"dare:major=0, dare:ancient=0, dare:feature=villa"
Hafra Ennaga,villa,"An ancient place, cited: BAtlas 28 C5 Hafra Ennaga",-5.494466,34.182376,R,-30,300,275637,"dare:major=0, dare:ancient=0, dare:feature=villa"
Koudia es Souma,villa,"An ancient place, cited: BAtlas 28 B3 Koudia es Souma",-6.091355,35.190895,HRL,-330,640,275656,"dare:major=0, dare:ancient=0, dare:feature=villa"
Krimda,villa,"An ancient place, cited: BAtlas 28 B3 Krimda",-6.07,35.27,HRL,-330,640,275658,"dare:major=0, dare:ancient=0, dare:feature=villa"
Lalla Yto,villa,"An ancient place, cited: BAtlas 28 B5 Lalla Yto",-6.203001,34.34657,R,-30,300,275662,"dare:major=0, dare:ancient=0, dare:feature=villa"
Lalla Ghannama,villa,"An ancient place, cited: BAtlas 28 C5 Lalla Ghannama",-5.717595,34.251619,RL,-30,640,275663,"dare:major=0, dare:ancient=0, dare:feature=villa"
Maatga,villa,"An ancient place, cited: BAtlas 28 B4 Maatga",-6.099999,34.616666,R,-30,300,275669,"dare:major=0, dare:ancient=0, dare:feature=villa"
Mechra Sfa,villa,"An ancient place, cited: BAtlas 28 C5 Mechra Sfa",-5.70059,34.180499,R,-30,300,275675,"dare:major=0, dare:ancient=0, dare:feature=villa"
Merja Touila,villa,"An ancient place, cited: BAtlas 28 B5 Merja Touila",-6.450001,34.350002,R,-30,300,275677,"dare:major=0, dare:ancient=0, dare:feature=villa"
Mezgalef,villa,"An ancient place, cited: BAtlas 28 B3 Mezgalef",-6.09,35.289999,HR,-330,300,275680,"dare:major=0, dare:ancient=0, dare:feature=villa"
Oued Bqader,villa,"An ancient place, cited: BAtlas 28 B5 Oued Bqader",-6.279911,34.475742,R,-30,300,275687,"dare:major=0, dare:ancient=0, dare:feature=villa"
Rekada,villa,"An ancient place, cited: BAtlas 28 B3 Rekada",-6.13,35.209999,HRL,-330,640,275691,"dare:major=0, dare:ancient=0, dare:feature=villa"
Si Ahmed Cherif,villa,"An ancient place, cited: BAtlas 28 C3 Si Ahmed Cherif",-5.847043,35.448322,RL,-30,640,275707,"dare:major=0, dare:ancient=0, dare:feature=villa"
Sidi Kacem,villa,"An ancient place, cited: BAtlas 28 C2 Sidi Kacem",-5.943195,35.707377,RL,-30,640,275716,"dare:major=0, dare:ancient=0, dare:feature=villa"
Sidi Mohammed ben Naseur,villa,"An ancient place, cited: BAtlas 28 B5 Sidi Mohammed ben Naseur",-5.997415,34.308691,R,-30,300,275719,"dare:major=0, dare:ancient=0, dare:feature=villa"
Untitled,villa,"An ancient place, cited: BAtlas 28 D2 unnamed feature (rural settlement E Tamuda)",-5.390233,35.555497,R,-30,300,277846,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"feature, villa","An ancient place, cited: BAtlas 28 B3 unnamed feature (rural settlement in Djouima vicinity)",-6.105608,35.254559,RL,-30,640,277847,"dare:major=0, dare:ancient=2, dare:feature=villa"
Ain Bénia,villa,"An ancient place, cited: BAtlas 29 G1 Ain Bénia",1.693235,35.103058,R,-30,300,285397,"dare:major=0, dare:ancient=0, dare:feature=villa"
Ain bent es Soltane,villa,"An ancient place, cited: BAtlas 29 D2 Ain bent es Soltane",-1.032855,34.849815,R,-30,300,285398,"dare:major=0, dare:ancient=0, dare:feature=villa"
Ain Sarb,villa,"An ancient place, cited: BAtlas 29 G1 Ain Sarb",1.116894,35.349831,RL,-30,640,285404,"dare:major=0, dare:ancient=0, dare:feature=villa"
Oukki,villa,"An ancient place, cited: BAtlas 29 G1 Oukki",1.462193,35.543343,R,-30,300,285499,"dare:major=0, dare:ancient=0, dare:feature=villa"
Trumelet,villa,"An ancient place, cited: BAtlas 29 G1 Trumelet",1.441323,35.395992,RL,-30,640,285541,"dare:major=0, dare:ancient=0, dare:feature=villa"
Akbou des Beni Chénacha,villa,"An ancient place, cited: BAtlas 30 G3 Akbou des Beni Chénacha",3.400832,36.637935,R,-30,300,295214,"dare:major=0, dare:ancient=0, dare:feature=villa"
Bou Kisnaden,villa,"An ancient place, cited: BAtlas 30 D3 Bou Kisnaden",2.371379,36.543718,RL,-30,640,295231,"dare:major=0, dare:ancient=0, dare:feature=villa"
Bou-Roukht,villa,"An ancient place, cited: BAtlas 30 D3 Bou-Roukht",2.256551,36.603386,R,-30,300,295233,"dare:major=0, dare:ancient=0, dare:feature=villa"
Nador,villa,"An ancient place, cited: BAtlas 30 D3 Nador",2.391278,36.570401,RL,-30,640,295315,"dare:major=0, dare:ancient=0, dare:feature=villa"
Sidi-bou-el-Messabih,villa,"An ancient place, cited: BAtlas 30 D3 Sidi-bou-el-Messabih",2.291792,36.590348,RL,-30,640,295341,"dare:major=0, dare:ancient=0, dare:feature=villa"
Sidi-el-Masmeudi,villa,"An ancient place, cited: BAtlas 30 D4 Sidi-el-Masmeudi",2.281579,36.494028,RL,-30,640,295342,"dare:major=0, dare:ancient=0, dare:feature=villa"
