"BehaviorSpace results (NetLogo 6.0.1)"
"Roman_LULCC.nlogo"
"cell-resolution"
"08/14/2017 20:27:54:672 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","grain-req","expectation-scalar","tenure-drop","patches-per-ha","dynamic-pop","init-households","tenure","annual-precip","wood-req","[step]","mean [grain-supply] of households"
"1","212","0.7","0.2","0.25","false","10","""satisficing""","0.54","2000","200","0"
"2","212","0.7","0.2","0.25","false","10","""satisficing""","0.54","2000","200","0"
"4","212","0.7","0.2","0.25","false","10","""satisficing""","0.54","2000","200","0"
"3","212","0.7","0.2","0.25","false","10","""satisficing""","0.54","2000","200","0"
"5","212","0.7","0.2","0.25","false","10","""satisficing""","0.54","2000","200","0"
"7","212","0.7","0.2","0.25","false","10","""satisficing""","0.54","2000","200","0"
"8","212","0.7","0.2","0.25","false","10","""satisficing""","0.54","2000","200","0"
"9","212","0.7","0.2","0.25","false","10","""satisficing""","0.54","2000","200","0"
"10","212","0.7","0.2","0.25","false","10","""satisficing""","0.54","2000","200","0"
"11","212","0.7","0.2","0.25","false","10","""satisficing""","0.54","2000","200","0"
"12","212","0.7","0.2","0.25","false","10","""satisficing""","0.54","2000","200","0"
"14","212","0.7","0.2","0.25","false","10","""satisficing""","0.54","2000","200","0"
"13","212","0.7","0.2","0.25","false","10","""satisficing""","0.54","2000","200","0"
"15","212","0.7","0.2","0.25","false","10","""satisficing""","0.54","2000","200","0"
"16","212","0.7","0.2","0.25","false","10","""satisficing""","0.54","2000","200","0"
"17","212","0.7","0.2","0.25","false","10","""satisficing""","0.54","2000","200","0"
"6","212","0.7","0.2","0.25","false","10","""satisficing""","0.54","2000","200","0"
"18","212","0.7","0.2","0.25","false","10","""satisficing""","0.54","2000","200","0"
"20","212","0.7","0.2","0.25","false","10","""satisficing""","0.54","2000","200","0"
"19","212","0.7","0.2","0.25","false","10","""satisficing""","0.54","2000","200","0"
"22","212","0.7","0.2","0.5","false","10","""satisficing""","0.54","2000","200","174931.53923067838"
"24","212","0.7","0.2","0.5","false","10","""satisficing""","0.54","2000","200","173391.25403697742"
"21","212","0.7","0.2","0.5","false","10","""satisficing""","0.54","2000","200","169812.33765558098"
"23","212","0.7","0.2","0.5","false","10","""satisficing""","0.54","2000","200","179361.85662534102"
"25","212","0.7","0.2","0.5","false","10","""satisficing""","0.54","2000","200","175949.28295357246"
"26","212","0.7","0.2","0.5","false","10","""satisficing""","0.54","2000","200","174536.47541499865"
"27","212","0.7","0.2","0.5","false","10","""satisficing""","0.54","2000","200","173970.28687060231"
"28","212","0.7","0.2","0.5","false","10","""satisficing""","0.54","2000","200","177845.0776814871"
"29","212","0.7","0.2","0.5","false","10","""satisficing""","0.54","2000","200","175730.39763810736"
"30","212","0.7","0.2","0.5","false","10","""satisficing""","0.54","2000","200","176319.6409883771"
"31","212","0.7","0.2","0.5","false","10","""satisficing""","0.54","2000","200","174469.17328533396"
"32","212","0.7","0.2","0.5","false","10","""satisficing""","0.54","2000","200","174729.8391028998"
"33","212","0.7","0.2","0.5","false","10","""satisficing""","0.54","2000","200","176867.5606578133"
"34","212","0.7","0.2","0.5","false","10","""satisficing""","0.54","2000","200","173681.53702243316"
"35","212","0.7","0.2","0.5","false","10","""satisficing""","0.54","2000","200","178400.04690953565"
"36","212","0.7","0.2","0.5","false","10","""satisficing""","0.54","2000","200","174660.866160628"
"37","212","0.7","0.2","0.5","false","10","""satisficing""","0.54","2000","200","173674.75789245157"
"38","212","0.7","0.2","0.5","false","10","""satisficing""","0.54","2000","200","177820.43331111717"
"39","212","0.7","0.2","0.5","false","10","""satisficing""","0.54","2000","200","176565.24267788048"
"40","212","0.7","0.2","0.5","false","10","""satisficing""","0.54","2000","200","174702.40543305362"
"41","212","0.7","0.2","1","false","10","""satisficing""","0.54","2000","200","92168.15286522088"
"42","212","0.7","0.2","1","false","10","""satisficing""","0.54","2000","200","93104.35136712444"
"43","212","0.7","0.2","1","false","10","""satisficing""","0.54","2000","200","92943.81014433243"
"44","212","0.7","0.2","1","false","10","""satisficing""","0.54","2000","200","92897.01550188151"
"45","212","0.7","0.2","1","false","10","""satisficing""","0.54","2000","200","92080.6385489522"
